DOClass,Disease,DiseaseClass,EvidenceIndexGDA,EvidenceLevelGDA,FirstRef,Gene,GeneDPI,GeneDSI,GeneFullName,GenePLI,HPOClass,LastRef,NumDiseasesAssociatedToGene,NumGenesDisease,NumPMIDs,NumVariantsAssociatedToGene,NumVariantsDisease,NumVariantsGDA,PathwayIDs,PathwayNames,ProteinClass,ScoreGDA,SemanticType,Type,UnitProt,diseaseUMLSCUI,geneEnsemblIDs,geneNcbiID,geneNcbiType,numCTs,numberChemsIncludedInEvidence,numberPmidsWithChemsIncludedInEvidence
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8362573099415205,,2005.0,ACE,0.96,0.31,angiotensin I converting enzyme,5.7955e-32,Abnormality of the cardiovascular system (01626),2017.0,123,301,4,159,371,0,R-HSA-392499,Metabolism of proteins,Enzyme,1.0,Disease or Syndrome (T047),disease,"P12821,B4DKH4",C0020538,ENSG00000159640,1636,protein-coding,28,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8430851063829787,,2003.0,CRP,1.0,0.25,C-reactive protein,0.0005414,Abnormality of the cardiovascular system (01626),2010.0,63,301,4,1,371,0,R-HSA-168256,Immune System,,1.0,Disease or Syndrome (T047),disease,P02741,C0020538,ENSG00000132693,1401,protein-coding,104,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8669527896995708,,1998.0,INS,0.96,0.25,insulin,0.019763,Abnormality of the cardiovascular system (01626),2018.0,95,301,3,62,371,0,"R-HSA-1266738,R-HSA-1430728,R-HSA-162582,R-HSA-392499,R-HSA-5653656,R-HSA-74160","Developmental Biology,Metabolism,Signal Transduction,Metabolism of proteins,Vesicle-mediated transport,Gene expression (Transcription)",,1.0,Disease or Syndrome (T047),disease,"P01308,I3WAC9",C0020538,ENSG00000254647,3630,protein-coding,121,2,2
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9047619047619048,,2009.0,MMP2,0.91,0.32,matrix metallopeptidase 2,6.2654e-05,Abnormality of the cardiovascular system (01626),2009.0,73,301,1,80,371,0,"R-HSA-1266738,R-HSA-1474244,R-HSA-162582,R-HSA-168256,R-HSA-392499","Developmental Biology,Extracellular matrix organization,Signal Transduction,Immune System,Metabolism of proteins",Enzyme,1.0,Disease or Syndrome (T047),disease,P08253,C0020538,ENSG00000087245,4313,protein-coding,3,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9447852760736196,,,VEGFA,0.96,0.25,vascular endothelial growth factor A,0.1881,Abnormality of the cardiovascular system (01626),,109,301,0,6,371,0,"R-HSA-109582,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-74160,R-HSA-8953897","Hemostasis,Signal Transduction,Disease,Immune System,Gene expression (Transcription),Cellular responses to stimuli",Signaling,1.0,Disease or Syndrome (T047),disease,"A0A0Y0IMM4,P15692,A2A2V4",C0020538,ENSG00000112715,7422,protein-coding,12,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8872180451127819,,,CYP11B2,0.74,0.51,cytochrome P450 family 11 subfamily B member 2,1.3398e-10,Abnormality of the cardiovascular system (01626),,17,301,0,100,371,3,"R-HSA-1430728,R-HSA-1643685","Metabolism,Disease",,1.0,Disease or Syndrome (T047),disease,P19099,C0020538,ENSG00000179142,1585,protein-coding,2,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.95,,1997.0,NPPB,0.91,0.39,natriuretic peptide B,1.8925e-05,Abnormality of the cardiovascular system (01626),2020.0,41,301,5,1,371,0,,,,0.95,Disease or Syndrome (T047),disease,P16860,C0020538,ENSG00000120937,4879,protein-coding,82,6,4
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9090909090909092,,1998.0,HSD11B1,0.96,0.49,hydroxysteroid 11-beta dehydrogenase 1,0.0022053,Abnormality of the cardiovascular system (01626),2011.0,16,301,3,5,371,0,"R-HSA-1430728,R-HSA-9748784","Metabolism,Drug ADME",,0.95,Disease or Syndrome (T047),disease,"P28845,X5D2L1",C0020538,ENSG00000117594,3290,protein-coding,1,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2002.0,SOD2,1.0,0.35,superoxide dismutase 2,0.032187,Abnormality of the cardiovascular system (01626),2014.0,192,301,3,5,371,0,"R-HSA-1643685,R-HSA-168256,R-HSA-1852241,R-HSA-74160,R-HSA-8953897","Disease,Immune System,Organelle biogenesis and maintenance,Gene expression (Transcription),Cellular responses to stimuli",Enzyme,0.95,Disease or Syndrome (T047),disease,"P04179,A0A384NL29,Q9UG59,Q96AM7,G5E9P6",C0020538,ENSG00000291237,6648,protein-coding,2,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.85,,1997.0,SOD1,1.0,0.33,superoxide dismutase 1,0.011954,Abnormality of the cardiovascular system (01626),2020.0,90,301,3,133,371,0,"R-HSA-109582,R-HSA-168256,R-HSA-8953897","Hemostasis,Immune System,Cellular responses to stimuli",Enzyme,0.95,Disease or Syndrome (T047),disease,"P00441,V9HWC9",C0020538,ENSG00000142168,6647,protein-coding,3,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8345323741007195,,2010.0,APOE,0.96,0.33,apolipoprotein E,0.00025529,Abnormality of the cardiovascular system (01626),2012.0,100,301,2,33,371,0,"R-HSA-1430728,R-HSA-162582,R-HSA-382551,R-HSA-392499,R-HSA-5653656,R-HSA-74160,R-HSA-9709957","Metabolism,Signal Transduction,Transport of small molecules,Metabolism of proteins,Vesicle-mediated transport,Gene expression (Transcription),Sensory Perception",,0.95,Disease or Syndrome (T047),disease,"A0A0S2Z3D5,P02649",C0020538,ENSG00000130203,348,protein-coding,1,2,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9230769230769232,,1997.0,ADRB1,0.91,0.49,adrenoceptor beta 1,0.1116,Abnormality of the cardiovascular system (01626),2000.0,25,301,2,3,371,0,R-HSA-162582,Signal Transduction,G-protein coupled receptor,0.95,Disease or Syndrome (T047),disease,P08588,C0020538,ENSG00000043591,153,protein-coding,3,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8444444444444444,,2005.0,ADD1,0.78,0.58,adducin 1,1.0,Abnormality of the cardiovascular system (01626),2009.0,10,301,2,10,371,0,"R-HSA-382551,R-HSA-5357801,R-HSA-8953897","Transport of small molecules,Programmed Cell Death,Cellular responses to stimuli",Cellular structure,0.95,Disease or Syndrome (T047),disease,"P35611,A0A804HL01",C0020538,ENSG00000087274,118,protein-coding,2,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8679245283018868,,2008.0,APOA1,0.91,0.37,apolipoprotein A1,5.2702e-07,Abnormality of the cardiovascular system (01626),2008.0,44,301,1,40,371,0,"R-HSA-109582,R-HSA-1430728,R-HSA-1643685,R-HSA-382551,R-HSA-392499,R-HSA-5653656,R-HSA-8953897,R-HSA-9709957","Hemostasis,Metabolism,Disease,Transport of small molecules,Metabolism of proteins,Vesicle-mediated transport,Cellular responses to stimuli,Sensory Perception",,0.95,Disease or Syndrome (T047),disease,"P02647,A0A024R3E3",C0020538,ENSG00000118137,335,protein-coding,6,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.875,,1989.0,ALB,0.96,0.28,albumin,0.10648,Abnormality of the cardiovascular system (01626),1989.0,88,301,1,45,371,0,"R-HSA-109582,R-HSA-1430728,R-HSA-382551,R-HSA-392499,R-HSA-5653656,R-HSA-8953897,R-HSA-9748784","Hemostasis,Metabolism,Transport of small molecules,Metabolism of proteins,Vesicle-mediated transport,Cellular responses to stimuli,Drug ADME",Transporter,0.95,Disease or Syndrome (T047),disease,P02768,C0020538,ENSG00000163631,213,protein-coding,81,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8466257668711656,,2003.0,ADIPOQ,0.96,0.33,"adiponectin, C1Q and collagen domain containing",3.5736e-09,Abnormality of the cardiovascular system (01626),2003.0,43,301,1,3,371,0,"R-HSA-1266738,R-HSA-1430728","Developmental Biology,Metabolism",,0.95,Disease or Syndrome (T047),disease,"B2R773,A8K660,Q15848",C0020538,ENSG00000181092,9370,protein-coding,23,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.951219512195122,,2010.0,MMP9,0.96,0.29,matrix metallopeptidase 9,3.7082e-25,Abnormality of the cardiovascular system (01626),2010.0,107,301,1,38,371,0,"R-HSA-1266738,R-HSA-1474244,R-HSA-162582,R-HSA-168256","Developmental Biology,Extracellular matrix organization,Signal Transduction,Immune System",Enzyme,0.95,Disease or Syndrome (T047),disease,P14780,C0020538,ENSG00000100985,4318,protein-coding,3,2,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9555555555555556,,1995.0,HSD11B2,0.87,0.51,hydroxysteroid 11-beta dehydrogenase 2,3.3476e-07,Abnormality of the cardiovascular system (01626),2000.0,11,301,4,26,371,0,"R-HSA-1430728,R-HSA-9748784","Metabolism,Drug ADME",Enzyme,0.9,Disease or Syndrome (T047),disease,P80365,C0020538,ENSG00000176387,3291,protein-coding,0,2,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9142857142857144,,2006.0,HMOX1,0.96,0.34,heme oxygenase 1,3.3466e-07,Abnormality of the cardiovascular system (01626),2012.0,83,301,3,5,371,0,"R-HSA-1430728,R-HSA-1643685,R-HSA-168256,R-HSA-382551,R-HSA-8953897,R-HSA-9609507","Metabolism,Disease,Immune System,Transport of small molecules,Cellular responses to stimuli,Protein localization",,0.9,Disease or Syndrome (T047),disease,"P09601,Q6FH11",C0020538,ENSG00000100292,3162,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9318181818181818,,2004.0,PPARG,0.96,0.33,peroxisome proliferator activated receptor gamma,0.21172,Abnormality of the cardiovascular system (01626),2016.0,77,301,3,103,371,0,"R-HSA-1266738,R-HSA-1430728,R-HSA-162582,R-HSA-392499,R-HSA-74160","Developmental Biology,Metabolism,Signal Transduction,Metabolism of proteins,Gene expression (Transcription)",Nuclear receptor,0.9,Disease or Syndrome (T047),disease,"P37231,A0A494C1F9,E9PFX5,D2KUA6,E9PFV2",C0020538,ENSG00000132170,5468,protein-coding,0,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8125,,2012.0,WNK4,0.65,0.65,WNK lysine deficient protein kinase 4,3.9577000000000004e-25,Abnormality of the cardiovascular system (01626),2012.0,5,301,1,42,371,0,R-HSA-382551,Transport of small molecules,Kinase,0.9,Disease or Syndrome (T047),disease,Q96J92,C0020538,ENSG00000126562,65266,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8,,2012.0,WNK1,0.83,0.51,WNK lysine deficient protein kinase 1,1.0,Abnormality of the cardiovascular system (01626),2012.0,19,301,1,659,371,0,R-HSA-382551,Transport of small molecules,Kinase,0.9,Disease or Syndrome (T047),disease,"Q9H4A3,A5D8Z4,F5GWT4",C0020538,ENSG00000060237,65125,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9285714285714286,,2003.0,ECE1,0.83,0.51,endothelin converting enzyme 1,0.98713,Abnormality of the cardiovascular system (01626),2003.0,13,301,1,16,371,0,R-HSA-162582,Signal Transduction,Enzyme,0.9,Disease or Syndrome (T047),disease,P42892,C0020538,ENSG00000117298,1889,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9,,,CORIN,0.65,0.59,"corin, serine peptidase",2.1526e-25,Abnormality of the cardiovascular system (01626),,8,301,0,6,371,1,R-HSA-397014,Muscle contraction,,0.9,Disease or Syndrome (T047),disease,"A0A087X1D5,Q9Y5Q5,B4E1Y7,J3KR83,B4E2W9",C0020538,ENSG00000145244,10699,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.7222222222222222,,2016.0,IL1B,0.96,0.27,interleukin 1 beta,0.48761,Abnormality of the cardiovascular system (01626),2020.0,162,301,5,4,371,0,"R-HSA-1643685,R-HSA-168256,R-HSA-5357801","Disease,Immune System,Programmed Cell Death",,0.9,Disease or Syndrome (T047),disease,P01584,C0020538,ENSG00000125538,3553,protein-coding,10,3,3
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8909090909090909,,1984.0,AVP,0.96,0.36,arginine vasopressin,3.3806e-05,Abnormality of the cardiovascular system (01626),2009.0,43,301,5,24,371,0,"R-HSA-162582,R-HSA-1643685,R-HSA-382551,R-HSA-400253,R-HSA-5653656","Signal Transduction,Disease,Transport of small molecules,Circadian Clock,Vesicle-mediated transport",Signaling,0.9,Disease or Syndrome (T047),disease,"P01185,X5DQP6",C0020538,ENSG00000101200,551,protein-coding,6,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.875,,2001.0,CAT,1.0,0.35,catalase,1.6098e-08,Abnormality of the cardiovascular system (01626),2012.0,95,301,4,5,371,0,"R-HSA-168256,R-HSA-74160,R-HSA-8953897,R-HSA-9609507","Immune System,Gene expression (Transcription),Cellular responses to stimuli,Protein localization",Enzyme,0.9,Disease or Syndrome (T047),disease,"A0A384P5Q0,P04040",C0020538,ENSG00000121691,847,protein-coding,1,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9021739130434784,,2002.0,SCNN1A,0.91,0.5,sodium channel epithelial 1 subunit alpha,4.9869e-18,Abnormality of the cardiovascular system (01626),2013.0,26,301,2,85,371,0,"R-HSA-382551,R-HSA-9709957","Transport of small molecules,Sensory Perception",Ion channel,0.9,Disease or Syndrome (T047),disease,P37088,C0020538,ENSG00000111319,6337,protein-coding,1,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.6666666666666666,,2002.0,ICAM1,0.96,0.33,intercellular adhesion molecule 1,1.834e-06,Abnormality of the cardiovascular system (01626),2002.0,61,301,2,7,371,0,"R-HSA-1474244,R-HSA-168256","Extracellular matrix organization,Immune System",,0.9,Disease or Syndrome (T047),disease,"P05362,A0A384MEK5",C0020538,ENSG00000090339,3383,protein-coding,10,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8656716417910447,,2010.0,SERPINE1,0.96,0.34,serpin family E member 1,0.03418,Abnormality of the cardiovascular system (01626),2012.0,65,301,2,56,371,0,"R-HSA-109582,R-HSA-1474244,R-HSA-162582,R-HSA-400253,R-HSA-74160","Hemostasis,Extracellular matrix organization,Signal Transduction,Circadian Clock,Gene expression (Transcription)",Enzyme modulator,0.9,Disease or Syndrome (T047),disease,P05121,C0020538,ENSG00000106366,5054,protein-coding,13,2,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8888888888888888,,2001.0,TGFB1,0.91,0.26,transforming growth factor beta 1,0.025965,Abnormality of the cardiovascular system (01626),2009.0,136,301,2,37,371,0,"R-HSA-109582,R-HSA-1266738,R-HSA-1474244,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-74160","Hemostasis,Developmental Biology,Extracellular matrix organization,Signal Transduction,Disease,Immune System,Metabolism of proteins,Gene expression (Transcription)",Signaling,0.9,Disease or Syndrome (T047),disease,"P01137,A0A499FJK2",C0020538,ENSG00000105329,7040,protein-coding,2,2,2
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.96,,2002.0,VCAM1,0.96,0.38,vascular cell adhesion molecule 1,4.069e-09,Abnormality of the cardiovascular system (01626),2009.0,21,301,2,0,371,0,"R-HSA-1474244,R-HSA-168256","Extracellular matrix organization,Immune System",,0.9,Disease or Syndrome (T047),disease,P19320,C0020538,ENSG00000162692,7412,protein-coding,9,2,2
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.75,,2009.0,IGF1,0.96,0.28,insulin like growth factor 1,0.75878,Abnormality of the cardiovascular system (01626),2012.0,71,301,2,118,371,0,"R-HSA-109582,R-HSA-162582,R-HSA-392499","Hemostasis,Signal Transduction,Metabolism of proteins",,0.9,Disease or Syndrome (T047),disease,"Q59GC5,P05019,Q13429,Q5U743",C0020538,ENSG00000017427,3479,protein-coding,4,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9210526315789472,,2010.0,CCL2,0.96,0.31,C-C motif chemokine ligand 2,0.098507,Abnormality of the cardiovascular system (01626),2016.0,104,301,2,2,371,0,"R-HSA-162582,R-HSA-168256,R-HSA-8953897","Signal Transduction,Immune System,Cellular responses to stimuli",Signaling,0.9,Disease or Syndrome (T047),disease,P13500,C0020538,ENSG00000108691,6347,protein-coding,7,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.85,,2006.0,HP,0.96,0.36,haptoglobin,,Abnormality of the cardiovascular system (01626),2006.0,53,301,1,3,371,0,"R-HSA-168256,R-HSA-5653656","Immune System,Vesicle-mediated transport",,0.9,Disease or Syndrome (T047),disease,"P00738,Q6PEJ8,A0A0C4DGL8",C0020538,ENSG00000257017,3240,protein-coding,2,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9272727272727272,,2012.0,UMOD,0.96,0.49,uromodulin,8.6769e-23,Abnormality of the cardiovascular system (01626),2012.0,9,301,1,106,371,1,R-HSA-392499,Metabolism of proteins,,0.9,Disease or Syndrome (T047),disease,P07911,C0020538,ENSG00000169344,7369,protein-coding,1,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8478260869565217,,1991.0,PTH,0.91,0.35,parathyroid hormone,0.047072,Abnormality of the cardiovascular system (01626),1991.0,27,301,1,10,371,0,R-HSA-162582,Signal Transduction,,0.9,Disease or Syndrome (T047),disease,P01270,C0020538,ENSG00000152266,5741,protein-coding,2,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9,,2010.0,TIMP1,0.91,0.36,TIMP metallopeptidase inhibitor 1,,Abnormality of the cardiovascular system (01626),2010.0,27,301,1,0,371,0,"R-HSA-109582,R-HSA-1474244,R-HSA-162582,R-HSA-168256,R-HSA-392499","Hemostasis,Extracellular matrix organization,Signal Transduction,Immune System,Metabolism of proteins",Enzyme modulator,0.9,Disease or Syndrome (T047),disease,"P01033,Q6FGX5",C0020538,ENSG00000102265,7076,protein-coding,1,2,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9318181818181818,,,CHGA,0.96,0.4,chromogranin A,5.9758e-12,Abnormality of the cardiovascular system (01626),,11,301,0,7,371,0,R-HSA-168256,Immune System,,0.9,Disease or Syndrome (T047),disease,"P10645,Q86T07,G5E968",C0020538,ENSG00000100604,1113,protein-coding,2,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9444444444444444,,,XDH,0.91,0.47,xanthine dehydrogenase,5.404e-40,Abnormality of the cardiovascular system (01626),,39,301,0,244,371,0,"R-HSA-1430728,R-HSA-168256,R-HSA-9748784","Metabolism,Immune System,Drug ADME",Enzyme,0.9,Disease or Syndrome (T047),disease,P47989,C0020538,ENSG00000158125,7498,protein-coding,1,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9545454545454546,,,NPY,0.96,0.41,neuropeptide Y,0.0015886,Abnormality of the cardiovascular system (01626),,40,301,0,0,371,0,"R-HSA-162582,R-HSA-74160","Signal Transduction,Gene expression (Transcription)",Signaling,0.9,Disease or Syndrome (T047),disease,"A4D158,P01303",C0020538,ENSG00000122585,4852,protein-coding,2,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9047619047619048,,,RNLS,0.65,0.56,"renalase, FAD dependent amine oxidase",3.3258e-10,Abnormality of the cardiovascular system (01626),,4,301,0,26,371,0,R-HSA-1430728,Metabolism,,0.9,Disease or Syndrome (T047),disease,"Q5VYX0,B4DJW3",C0020538,ENSG00000184719,55328,protein-coding,2,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8421052631578947,,,RETN,0.96,0.4,resistin,0.0043156,Abnormality of the cardiovascular system (01626),,12,301,0,1,371,0,"R-HSA-168256,R-HSA-74160","Immune System,Gene expression (Transcription)",,0.9,Disease or Syndrome (T047),disease,Q9HD89,C0020538,ENSG00000104918,56729,protein-coding,3,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8648648648648649,,,ADRB2,0.96,0.42,adrenoceptor beta 2,0.0010085,Abnormality of the cardiovascular system (01626),,49,301,0,3,371,0,"R-HSA-162582,R-HSA-392499,R-HSA-5653656","Signal Transduction,Metabolism of proteins,Vesicle-mediated transport",G-protein coupled receptor,0.9,Disease or Syndrome (T047),disease,"P07550,X5DQM5",C0020538,ENSG00000169252,154,protein-coding,1,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8620689655172413,,2006.0,CYBA,0.87,0.49,cytochrome b-245 alpha chain,2.5483e-10,Abnormality of the cardiovascular system (01626),2020.0,20,301,4,130,371,0,"R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-8953897","Signal Transduction,Disease,Immune System,Cellular responses to stimuli",,0.85,Disease or Syndrome (T047),disease,"B4DT46,P13498,H3BNP7",C0020538,ENSG00000051523,1535,protein-coding,0,2,2
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9333333333333332,,2008.0,NOS2,1.0,0.33,nitric oxide synthase 2,1.9485999999999999e-22,Abnormality of the cardiovascular system (01626),2016.0,85,301,3,12,371,0,"R-HSA-109582,R-HSA-1643685,R-HSA-168256,R-HSA-9609507","Hemostasis,Disease,Immune System,Protein localization",,0.85,Disease or Syndrome (T047),disease,P35228,C0020538,ENSG00000007171,4843,protein-coding,0,3,2
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9285714285714286,,2016.0,TH,0.91,0.45,tyrosine hydroxylase,,Abnormality of the cardiovascular system (01626),2020.0,32,301,3,329,371,0,R-HSA-1430728,Metabolism,,0.85,Disease or Syndrome (T047),disease,"P07101,P78428",C0020538,ENSG00000180176,7054,protein-coding,0,2,2
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.7741935483870968,,2008.0,NR3C1,0.96,0.37,nuclear receptor subfamily 3 group C member 1,1.0,Abnormality of the cardiovascular system (01626),2010.0,41,301,2,116,371,0,"R-HSA-162582,R-HSA-1643685,R-HSA-392499,R-HSA-400253,R-HSA-74160,R-HSA-8953897","Signal Transduction,Disease,Metabolism of proteins,Circadian Clock,Gene expression (Transcription),Cellular responses to stimuli",Nuclear receptor,0.85,Disease or Syndrome (T047),disease,"E5KQF6,P04150,E5KQF5,F1D8N4",C0020538,ENSG00000113580,2908,protein-coding,0,0,0
